epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3288,1.5591,7.08433,1.46472,0.01396,0.22758,0.00954,0.00378,1.42625,5.13978,1.39768,5.634e-05,5.634e-05,5.634e-05
2,85.0568,1.25008,4.54412,1.29536,0.10185,0.12304,0.0164,0.01012,1.30154,6.26208,1.31269,0.000115173,0.000115173,0.000115173
3,4713.14,1.16506,3.89407,1.21832,0.18016,0.10578,0.05572,0.03744,1.24392,4.06532,1.27875,0.000173352,0.000173352,0.000173352
4,4737.02,1.10091,3.29797,1.19119,0.29511,0.1101,0.08162,0.05446,1.23141,3.84102,1.25475,0.000230877,0.000230877,0.000230877
5,5393.79,1.18093,2.99238,1.24067,0.23924,0.11993,0.06791,0.04433,1.2583,4.08996,1.29161,0.000287747,0.000287747,0.000287747
6,5406.5,1.11805,2.58249,1.19463,0.43779,0.1185,0.09154,0.05242,1.26142,3.75867,1.34561,0.000304393,0.000304393,0.000304393
7,5419.42,1.07939,2.47555,1.18278,0.23847,0.20092,0.12785,0.0876,1.24416,4.92655,1.40116,0.000302671,0.000302671,0.000302671
8,5432.76,1.0641,2.36782,1.20564,0.29036,0.21797,0.09462,0.06284,1.27959,4.91354,1.4185,0.00030095,0.00030095,0.00030095
9,5445.57,1.07531,2.19852,1.16851,0.25097,0.16888,0.13281,0.08796,1.26701,3.87562,1.37593,0.000299228,0.000299228,0.000299228
10,5458.66,1.0399,2.05688,1.15815,0.22073,0.15777,0.14162,0.0961,1.22021,3.33207,1.35842,0.000297507,0.000297507,0.000297507
11,5471.55,1.04621,1.92028,1.1811,0.2408,0.1595,0.16929,0.12365,1.20933,3.19993,1.33147,0.000295785,0.000295785,0.000295785
12,5484.47,1.03711,1.91617,1.15382,0.29845,0.19554,0.16239,0.11504,1.23497,3.33581,1.36781,0.000294064,0.000294064,0.000294064
13,5496.98,0.99783,1.83794,1.12147,0.22008,0.19297,0.17623,0.13304,1.20478,3.27656,1.36414,0.000292342,0.000292342,0.000292342
14,5510.08,1.00643,1.79709,1.12344,0.20322,0.22266,0.16352,0.11453,1.22835,3.80783,1.39202,0.000290621,0.000290621,0.000290621
15,5522.71,0.93054,1.58079,1.09733,0.33334,0.17943,0.14961,0.10299,1.24325,3.31933,1.39185,0.000288899,0.000288899,0.000288899
16,5535.26,0.93836,1.49031,1.09762,0.29228,0.17483,0.15589,0.10944,1.20275,3.48481,1.3614,0.000287178,0.000287178,0.000287178
17,5547.89,0.98382,1.55163,1.12648,0.33995,0.21639,0.18099,0.13247,1.24158,3.46725,1.3898,0.000285456,0.000285456,0.000285456
18,5560.52,0.9227,1.44678,1.11282,0.35671,0.1886,0.17284,0.12841,1.24267,3.31653,1.37263,0.000283735,0.000283735,0.000283735
19,5573.18,0.92607,1.34069,1.08734,0.23646,0.1877,0.16251,0.12214,1.21043,3.96425,1.30952,0.000282013,0.000282013,0.000282013
20,5585.83,0.91796,1.33841,1.09738,0.26599,0.20046,0.17992,0.13553,1.20852,3.36754,1.35867,0.000280292,0.000280292,0.000280292
21,5598.73,0.89668,1.31786,1.07886,0.21301,0.24407,0.19062,0.12691,1.24417,3.61864,1.41162,0.00027857,0.00027857,0.00027857
22,5611.3,0.92566,1.29905,1.092,0.21135,0.1876,0.17158,0.12455,1.23823,3.55201,1.38508,0.000276849,0.000276849,0.000276849
23,5624.05,0.85031,1.17466,1.03715,0.24362,0.22494,0.14813,0.10581,1.25878,3.7059,1.44269,0.000275127,0.000275127,0.000275127
24,5636.6,0.8869,1.18525,1.07759,0.2069,0.23006,0.17995,0.13153,1.20782,3.39133,1.39226,0.000273406,0.000273406,0.000273406
25,5649.25,0.86251,1.12418,1.07575,0.1551,0.25639,0.17411,0.12528,1.22938,3.556,1.41049,0.000271684,0.000271684,0.000271684
26,5661.74,0.84722,1.14328,1.04758,0.24167,0.18569,0.17247,0.1253,1.24603,3.52936,1.39884,0.000269963,0.000269963,0.000269963
27,5674.24,0.84191,1.11046,1.04927,0.27041,0.22023,0.16618,0.12062,1.20123,3.68968,1.37179,0.000268241,0.000268241,0.000268241
28,5686.68,0.82436,1.09574,1.04493,0.25544,0.20968,0.19177,0.13777,1.21669,3.57613,1.3541,0.00026652,0.00026652,0.00026652
29,5699.66,0.84597,1.03703,1.04421,0.41578,0.23534,0.21859,0.15008,1.2267,3.59694,1.36084,0.000264798,0.000264798,0.000264798
30,5712.58,0.85515,1.03238,1.04062,0.26214,0.2377,0.17575,0.1294,1.21409,3.40446,1.39277,0.000263077,0.000263077,0.000263077
31,5725.31,0.81794,1.01609,1.03365,0.37598,0.23407,0.17465,0.13072,1.21681,3.79722,1.39519,0.000261355,0.000261355,0.000261355
32,5737.91,0.80186,0.9706,1.02739,0.45752,0.22357,0.20349,0.14786,1.21547,3.75108,1.39477,0.000259634,0.000259634,0.000259634
33,5750.42,0.79109,0.9606,1.02042,0.28861,0.25273,0.20388,0.15361,1.2091,3.642,1.39781,0.000257912,0.000257912,0.000257912
34,5763.32,0.78543,0.94235,1.00482,0.20619,0.23875,0.18013,0.1291,1.23807,3.57897,1.40121,0.000256191,0.000256191,0.000256191
35,5775.75,0.78945,0.90814,1.01413,0.20727,0.30002,0.16493,0.11189,1.27074,3.69057,1.45328,0.000254469,0.000254469,0.000254469
36,5788.25,0.75972,0.85554,0.99728,0.23786,0.24231,0.16415,0.1177,1.23877,3.65145,1.40223,0.000252748,0.000252748,0.000252748
37,5800.9,0.7688,0.89755,1.00369,0.21065,0.22763,0.17433,0.12061,1.2444,3.84821,1.40701,0.000251026,0.000251026,0.000251026
38,5813.4,0.73496,0.85697,0.99636,0.39984,0.22228,0.1963,0.14439,1.21811,3.40594,1.41242,0.000249305,0.000249305,0.000249305
39,5826.08,0.77524,0.84438,1.00995,0.33951,0.22266,0.18584,0.13507,1.22208,3.55547,1.39095,0.000247583,0.000247583,0.000247583
